contigName	contigLen	totalAvgDepth	Patl_draftAssembly_includesContamination.fasta.mapped.sorted.bam	Patl_draftAssembly_includesContamination.fasta.mapped.sorted.bam-var
NODE_1_length_1595730_cov_130.821	1.59573e+06	803.438	803.438	9131.02
NODE_2_length_1530536_cov_131.694	1.53054e+06	808.546	808.546	8385.99
NODE_3_length_1360841_cov_12.176	1.36084e+06	76.2856	76.2856	150.527
NODE_4_length_1328139_cov_10.7946	1.32814e+06	68.0083	68.0083	136.298
NODE_5_length_1250770_cov_50.1842	1.25077e+06	311.782	311.782	1243.47
NODE_6_length_1193729_cov_6.28277	1.19373e+06	37.7361	37.7361	65.9388
NODE_7_length_1178925_cov_128.516	1.17892e+06	793.42	793.42	7279.14
NODE_8_length_1109273_cov_10.8206	1.10927e+06	68.1503	68.1503	127.607
NODE_9_length_1107276_cov_15.5326	1.10728e+06	96.956	96.956	201.206
NODE_10_length_1091123_cov_10.2209	1.09112e+06	64.8596	64.8596	135.576
NODE_11_length_1074970_cov_12.6668	1.07497e+06	79.1553	79.1553	479.274
NODE_12_length_1042648_cov_50.2504	1.04265e+06	312.429	312.429	1209.23
NODE_13_length_1014359_cov_6.1635	1.01436e+06	36.9785	36.9785	63.6986
NODE_14_length_893437_cov_13.3944	893437	83.4707	83.4707	164.599
NODE_15_length_859422_cov_132.223	859422	811.978	811.978	9024.02
NODE_16_length_858455_cov_118.236	858455	716.92	716.92	7065.04
NODE_17_length_839182_cov_9.6569	839182	61.2735	61.2735	107.902
NODE_18_length_838718_cov_13.9002	838718	86.7416	86.7416	164.247
NODE_19_length_817964_cov_6.3564	817964	38.12	38.12	63.9459
NODE_20_length_782073_cov_12.1548	782073	74.126	74.126	149.023
NODE_21_length_768209_cov_12.5169	768209	78.7647	78.7647	158.09
NODE_22_length_760516_cov_15.8728	760516	99.3541	99.3541	232.842
NODE_23_length_744688_cov_13.517	744688	84.0911	84.0911	158.332
NODE_24_length_708503_cov_12.5261	708503	78.0686	78.0686	155.526
NODE_25_length_701873_cov_12.1432	701873	73.7797	73.7797	170.136
NODE_26_length_695947_cov_11.6192	695947	72.27	72.27	142.918
NODE_27_length_621990_cov_12.3607	621990	75.1348	75.1348	162.251
NODE_28_length_614754_cov_18.2843	614754	106.638	106.638	679.909
NODE_29_length_606044_cov_50.3227	606044	312.512	312.512	1191.99
NODE_30_length_604650_cov_11.7869	604650	72.9138	72.9138	140.646
